tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Gracilimonas	1602	446	414	697	172	170	675	169	191	154	58	47	133	27	28	132	37	21	0	0	0	0	0	0	0	0	0	257	72	72	184	51	43	120	22	31	0	0	0	0	0	0	0	0	0	86	24	24	0	0	0	0	0	1	0	0	0	0	0	0	6160
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Parahaliea	63	13	8	79	15	17	64	21	16	110	32	23	136	38	38	259	67	53	160	32	38	163	37	52	106	28	32	1348	320	332	551	113	146	706	181	170	0	0	0	0	0	0	0	0	0	381	110	99	0	0	0	0	0	0	0	0	0	0	0	0	6157
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira	1084	275	319	912	233	222	1869	506	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	4	0	0	5	1	2	0	0	0	0	0	0	0	0	0	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	5953
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1600	431	418	1869	440	472	0	0	0	0	0	0	5234
Bacteria;Bacteria_none;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;Leptonema	1027	317	262	1215	373	323	987	325	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5110
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Roseivirga	0	0	0	0	0	0	0	0	0	1366	356	408	1167	286	287	745	214	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5025
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	395	364	1403	379	406	0	0	0	0	0	0	4429
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1027	280	279	1556	417	446	0	0	0	0	0	0	4007
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Hoeflea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758	181	200	810	202	196	705	190	193	0	0	0	0	0	0	0	0	0	138	37	32	128	35	33	37	11	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3906
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus	386	93	126	1748	431	426	289	82	68	0	0	0	1	0	0	3	0	0	1	1	0	1	0	0	0	0	0	8	3	3	9	3	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3693
