tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium;Roseibium album	0	0	0	1	0	0	0	0	0	142	41	42	135	37	24	216	66	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	64	45	187	51	61	64	26	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1466
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira povalilytica	237	55	90	199	52	51	443	112	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1373
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Botrimarina;Botrimarina mediterranea	163	35	53	135	46	47	129	34	39	0	0	0	0	0	0	0	0	1	134	39	40	127	31	44	96	28	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1248
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Tagaea;Tagaea marina	0	0	0	0	1	0	0	0	0	134	38	36	121	28	28	127	30	39	150	45	45	118	31	25	114	36	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus rugosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	68	69	497	111	120	0	0	0	0	0	0	1164
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius nubinhibens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	62	53	218	56	51	235	60	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Marinovum;Marinovum algicola	0	0	0	0	0	0	0	0	0	85	22	26	51	14	14	257	66	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	80	78	0	0	0	0	0	0	0	0	0	0	0	0	1028
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira australica	200	51	47	156	41	48	322	83	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	48	65	442	108	131	0	0	0	0	0	0	993
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania pacifica	1	0	0	0	0	0	0	0	0	16	3	4	17	4	3	26	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	60	58	213	56	54	140	33	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979
Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter fluminis	148	23	37	157	23	31	90	21	31	28	13	6	21	5	2	39	6	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	54	13	8	28	6	14	19	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Nitratireductor;Nitratireductor kimnyeongensis	0	0	0	0	0	0	0	0	0	24	4	8	34	3	5	72	16	17	105	18	28	121	24	33	91	26	25	0	0	0	0	0	0	0	0	0	13	2	0	5	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium;Roseibium aggregatum	21	4	5	23	6	5	21	9	8	0	0	1	0	0	0	1	0	1	19	7	9	29	11	4	14	5	1	25	6	5	10	3	6	15	4	5	19	4	4	11	4	1	6	2	0	145	34	44	0	0	0	0	0	0	0	0	0	0	0	0	557
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;Muricauda aurea	38	18	18	61	17	12	44	11	13	1	1	0	0	3	0	0	1	1	26	18	8	63	25	11	34	15	11	21	5	6	5	2	2	5	0	0	0	0	0	0	0	0	0	1	0	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	511
