tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Reichenbachiellaceae;Ekhidna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	98	93	352	123	97	175	30	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Botrimarina	165	35	54	138	48	48	131	37	44	0	0	0	0	0	0	0	0	1	139	40	41	136	32	44	100	30	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1291
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Marinovum	0	0	0	0	0	0	0	0	0	91	23	26	54	15	14	271	72	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	82	81	0	0	0	0	0	0	0	0	0	0	0	0	1074
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Minwuiales;Minwuiaceae;Minwuia	261	89	91	28	5	7	275	67	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890
Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter	149	23	37	160	23	31	90	21	31	29	13	6	22	5	2	40	6	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	55	14	8	28	6	15	19	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Nitratireductor	1	0	0	0	0	0	0	0	0	24	4	9	37	3	5	76	16	20	117	19	28	127	27	37	100	26	25	0	0	0	0	0	0	0	0	0	36	10	3	32	2	12	18	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Sneathiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	47	43	206	47	74	129	48	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Thalassobaculum	55	17	17	52	20	15	67	9	9	35	5	6	25	10	4	39	8	4	28	7	9	39	13	9	25	8	12	27	3	5	15	10	7	36	6	9	0	0	0	0	0	0	0	0	0	37	15	10	0	0	0	0	0	0	1	0	0	0	0	0	728
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Aeoliella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	48	52	142	48	45	163	38	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712
Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Rhabdothermincola	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	131	26	42	118	27	41	145	33	47	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	615
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	32	28	234	73	61	0	0	0	0	0	0	534
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	25	31	236	66	64	0	0	0	0	0	0	531
Bacteria;Bacteria_none;Balneolaeota;Balneolia;Balneolales;Balneolaceae;Balneola	15	6	6	59	13	7	4	3	5	89	20	39	108	23	24	67	17	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Nisaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	45	38	148	31	37	50	15	16	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	522
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Mameliella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	32	23	127	31	33	54	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426
